"code","description","segmento_code"
"3121","Pinturas y bases y acabados","31"
"3122","Extractos de teñir y de curtir","31"
"3123","Materia prima en placas o barras labradas","31"
"3124","Óptica industrial","31"
"3125","Sistemas de control neumático, hidráulico o eléctrico","31"
"3126","Cubiertas, cajas y envolturas","31"
"3127","Piezas hechas a máquina","31"
"3128","Componentes de placa y estampados","31"
"3129","Extrusiones maquinadas","31"
"3130","Forjas labradas","31"
"3131","Ensambles de tubería fabricada","31"
"3132","Ensambles fabricados de material en barras","31"
"3133","Ensambles estructurales fabricados","31"
"3134","Ensambles de lámina fabricado","31"
"3135","Ensambles de tubería fabricada","31"
"3136","Ensambles de placa fabricados","31"
"3137","Refractarios","31"
"3138","Imanes y materiales magnéticos","31"
"3139","Maquinados","31"
"3140","Empaques","31"
"3141","Sellos","31"
"3142","Partes sinterizadas","31"
"3210","Circuitos impresos, circuitos integrados y micro ensamblajes","32"
"3211","Dispositivo semiconductor discreto","32"
"3212","Componentes pasivos discretos","32"
"3213","Piezas de componentes y hardware electrónicos y accesorios","32"
"3214","Dispositivos de tubo electrónico y accesorios","32"
"3215","Dispositivos y componentes y accesorios de control de automatización","32"
"3910","Lámparas y bombillas y componentes para lámparas","39"
"3911","Iluminación, artefactos y accesorios","39"
"3912","Equipos, suministros y componentes eléctricos","39"
"3913","Dispositivos y accesorios y suministros de manejo de cable eléctrico","39"
"4010","Calefacción, ventilación y circulación del aire","40"
"4014","Distribución de fluidos y gas","40"
"4015","Bombas y compresores industriales","40"
"4016","Filtrado y purificación industrial","40"
"4017","Instalaciones de tubos y entubamientos","40"
"4018","Instalaciones de tubos y tuberías","40"
"4110","Equipo de laboratorio y científico","41"
"4111","Instrumentos de medida, observación y ensayo","41"
"4112","Suministros y accesorios de laboratorio","41"
"4212","Equipos y suministros veterinarios","42"
"4213","Telas y vestidos médicos","42"
"4214","Suministros, productos de tratamiento y cuidado del enfermo","42"
"4215","Equipos y suministros dentales","42"
"4216","Equipo de diálisis y suministros","42"
"4217","Productos para los servicios médicos de urgencias y campo","42"
"4218","Productos de examen y control del paciente","42"
"4219","Productos de centro médico","42"
"4220","Productos de hacer imágenes diagnósticas médicas y de medicina nuclear","42"
"4221","Ayuda para personas con desafíos físicos para vivir independiente","42"
"4222","Productos para administración intravenosa y arterial","42"
"4223","Nutrición clínica","42"
"4224","Productos medicinales de deportes y ortopédicos y prótesis","42"
"4225","Productos de rehabilitación y terapia ocupacional y física","42"
"4226","Equipo y suministros post mortem y funerarios","42"
"4227","Productos de resucitación, anestesia y respiratorio","42"
"4228","Productos para la esterilización médica","42"
"4229","Productos quirúrgicos","42"
"4230","Suministros para formación y estudios de medicina","42"
"4231","Productos para el cuidado de heridas","42"
"4232","Implantes ortopédicos quirúrgicos","42"
"4319","Dispositivos de comunicaciones y accesorios","43"
"4320","Componentes para tecnología de la información, difusión o telecomunicaciones","43"
"4321","Equipo informático y accesorios","43"
"4322","Equipos o plataformas y accesorios de redes multimedia o de voz y datos","43"
"4323","Software","43"
"4410","Maquinaria, suministros y accesorios de oficina","44"
"4411","Accesorios de oficina y escritorio","44"
"4412","Suministros de oficina","44"
"4510","Equipo de imprenta y publicación","45"
"4511","Equipos de audio y video para presentación y composición","45"
"4512","Equipo de vídeo, filmación o fotografía","45"
"4513","Medios fotográficos y de grabación","45"
"4514","Suministros fotográficos para cine","45"
"4610","Armas ligeras y munición","46"
"4611","Armas de guerra convencionales","46"
"4612","Misiles","46"
"4613","Cohetes y subsistemas","46"
"4614","Lanzadores","46"
"4615","Protección del Orden Público","46"
"4616","Seguridad y control público","46"
"4617","Seguridad, vigilancia y detección","46"
"4618","Seguridad y protección personal","46"
"4619","Protección contra incendios","46"
"4620","Equipo de entrenamiento de seguridad física e industrial, defensa y orden público","46"
"4710","Tratamiento, suministros y eliminación de agua y aguas residuales","47"
"4711","Equipo industrial de lavandería y lavado en seco","47"
"4712","Equipo de aseo","47"
"4713","Suministros de aseo y limpieza","47"
"4810","Equipos de servicios de alimentación para instituciones","48"
"4811","Máquinas expendedoras","48"
"4812","Equipo de Juego o de Apostar","48"
"4813","Equipo y materiales funerarios","48"
"4910","Coleccionables y condecoraciones","49"
"4912","Equipos y accesorios para acampada y exteriores","49"
"4913","Equipos de pesca y caza","49"
"4914","Equipos para deportes acuáticos","49"
"4915","Equipos para deportes de invierno","49"
"4916","Equipos deportivos para campos y canchas","49"
"4917","Equipos de gimnasia y boxeo","49"
"4918","Juegos, equipo de tiro y mesa","49"
"4920","Equipo para entrenamiento físico","49"
"4921","Otros deportes","49"
"4922","Equipo y accesorios para deportes","49"
"4924","Equipo de recreo, parques infantiles y equipo y suministros de natación y de spa","49"
"5010","Frutos secos","50"
"5011","Productos de carne y aves de corral","50"
"5012","Pescados y mariscos","50"
"5013","Productos lácteos y huevos","50"
"5015","Aceites y grasas comestibles","50"
"5016","Chocolates, azúcares, edulcorantes y productos de confitería","50"
"5017","Condimentos y conservantes","50"
"5018","Productos de panadería","50"
"5019","Alimentos preparados y conservados","50"
"5020","Bebidas","50"
"5021","Tabaco y productos de fumar y substitutos","50"
"5022","Productos de cereales y legumbres","50"
"5030","Fruta fresca","50"
"5031","Fruta orgánica fresca","50"
"5032","Fruta seca","50"
"5033","Fruta orgánica seca","50"
"5034","Fruta congelada","50"
"5035","Fruta orgánica congelada","50"
"5036","Fruta en lata o en frasco","50"
"5037","Fruta orgánica en lata o en frasco","50"
"5038","Puré de frutas","50"
"5040","Vegetales frescos","50"
"5041","Vegetales orgánicos frescos","50"
"5042","Vegetales secos","50"
"5043","Vegetales orgánicos secos","50"
"5044","Vegetales congelados","50"
"5045","Vegetales orgánicos congelados","50"
"5046","Vegetales en lata o en frasco","50"
"5047","Vegetales orgánicos en lata o en frasco","50"
"5110","Medicamentos antiinfecciosos","51"
"5111","Agentes antitumorales","51"
"5112","Medicamentos cardiovasculares","51"
"5113","Medicamentos hematólogos","51"
"5114","Medicamentos para el sistema nervioso central","51"
"5115","Medicamentos para el sistema nervioso autónomo","51"
"5116","Medicamentos que afectan al sistema respiratorio","51"
"5117","Medicamentos que afectan al sistema gastrointestinal","51"
"5118","Hormonas y antagonistas hormonales","51"
"5119","Agentes que afectan el agua y los electrolitos","51"
"5120","Medicamentos inmunomoduladores","51"
"5121","Categorías de medicamentos varios","51"
"5124","Fármacos que afectan a los oídos, los ojos, la nariz y la piel","51"
"5125","Suplementos alimenticios veterinarios","51"
"5210","Revestimientos de suelos","52"
"5212","Ropa de cama, mantelerías, paños de cocina y toallas","52"
"5213","Tratamientos de ventanas","52"
"5214","Aparatos electrodomésticos","52"
"5215","Utensilios de cocina domésticos","52"
"5216","Electrónica de consumo","52"
"5217","Tratamientos de pared doméstica","52"
"5310","Ropa","53"
"5311","Calzado","53"
"5312","Maletas, bolsos de mano, mochilas y estuches","53"
"5313","Artículos de tocador y cuidado personal","53"
"5314","Fuentes y accesorios de costura","53"
"5410","Joyería","54"
"5411","Relojes","54"
"5412","Gemas","54"
"5510","Medios impresos","55"
"5511","Material electrónico de referencia","55"
"5512","Etiquetado y accesorios","55"
"5610","Muebles de alojamiento","56"
"5611","Muebles comerciales e industriales","56"
"5612","Mobiliario institucional, escolar y educativo y accesorios","56"
"5613","Muebles y accesorios para merchandising","56"
"5614","Adornos para el hogar","56"
"6010","Materiales didácticos profesionales y de desarrollo y accesorios y suministros","60"
"6011","Decoraciones y suministros del aula","60"
"6012","Equipo, accesorios y suministros de arte y manualidades","60"
"6013","Instrumentos musicales, piezas y accesorios","60"
"6014","Juguetes y juegos","60"
"6412","Contratos de intereses asegurables","64"
"9510","Parcelas de tierra","95"
"9511","Vías","95"
"9512","Estructuras y edificios permanentes","95"
"9513","Estructuras y edificios móviles","95"
"9514","Estructuras y edificios prefabricados","95"
"7010","Pesquerías y acuicultura","70"
"7011","Horticultura","70"
"7012","Servicios de animales vivos","70"
"7013","Preparación, gestión y protección del terreno y del suelo","70"
"7014","Producción, gestión y protección de cultivos","70"
"7015","Silvicultura","70"
"7016","Fauna y flora silvestres","70"
"7017","Desarrollo y vigilancia de recursos hidráulicos","70"
"7110","Servicios de minería","71"
"7111","Servicios de perforación y prospección petrolífera y de gas","71"
"7112","Servicios de construcción y perforación de pozos","71"
"7113","Servicios de aumento de la extracción y producción de gas y petróleo","71"
"7114","Servicios de restauración y recuperación de gas y petróleo","71"
"7115","Servicios de procesamiento y gestión de datos de petróleo y gas","71"
"7116","Servicios de gerencia de proyectos en pozos de petróleo y gas","71"
"7210","Servicios de mantenimiento y reparaciones de construcciones e instalaciones","72"
"7211","Servicios de construcción de edificaciones residenciales","72"
"7212","Servicios de construcción de edificaciones no residenciales","72"
"7214","Servicios de construcción pesada","72"
"7215","Servicios de mantenimiento y construcción de comercio especializado","72"
"7310","Industrias de plásticos y productos químicos","73"
"7311","Industrias de la madera y el papel","73"
"7312","Industrias del metal y de minerales","73"
"7313","Industrias de alimentos y bebidas","73"
"7314","Industrias de fibras, textiles y de tejidos","73"
"7315","Servicios de apoyo a la fabricación","73"
"7316","Fabricación de maquinaria y equipo de transporte","73"
"7317","Fabricación de productos eléctricos e instrumentos de precisión","73"
"7318","Servicios de maquinado y procesado","73"
"7610","Servicios de descontaminación","76"
"7611","Servicios de aseo y limpieza","76"
"7612","Eliminación y tratamiento de desechos","76"
"7613","Limpieza de residuos tóxicos y peligrosos","76"
"7710","Gestión medioambiental","77"
"7711","Protección medioambiental","77"
"7712","Seguimiento, control y rehabilitación de la contaminación","77"
"7713","Servicios de seguimiento, control o rehabilitación de contaminantes","77"
"7810","Transporte de correo y carga","78"
"7811","Transporte de pasajeros","78"
"7812","Manejo y embalaje de material","78"
"7813","Almacenaje","78"
"7814","Servicios de transporte","78"
"7818","Servicios de mantenimiento o reparaciones de transportes","78"
"8010","Servicios de asesoría de gestión","80"
"8011","Servicios de recursos humanos","80"
"8012","Servicios legales","80"
"8013","Servicios inmobiliarios","80"
"8014","Comercialización y distribución","80"
"8015","Política comercial y servicios","80"
"8016","Servicios de administración de empresas","80"
"8110","Servicios profesionales de ingeniería","81"
"8111","Servicios informáticos","81"
"8112","Economía","81"
"8113","Estadística","81"
"8114","Tecnologías de fabricación","81"
"8115","Servicios de pedología","81"
"8116","Entrega de servicios de tecnología de información","81"
"8210","Publicidad","82"
"8211","Escritura y traducciones","82"
"8212","Servicios de reproducción","82"
"8213","Servicios fotográficos","82"
"8214","Diseño gráfico","82"
"8215","Artistas e intérpretes profesionales","82"
"8310","Servicios públicos","83"
"8311","Servicios de medios de telecomunicaciones","83"
"8312","Servicios de información","83"
"8410","Finanzas de desarrollo","84"
"8411","Servicios de contabilidad y auditorias","84"
"8412","Banca e inversiones","84"
"8413","Servicios de seguros y pensiones","84"
"8414","Agencias de crédito","84"
"8510","Servicios integrales de salud","85"
"8511","Prevención y control de enfermedades","85"
"8512","Práctica médica","85"
"8513","Ciencia médica, investigación y experimentación","85"
"8514","Medicina alternativa y holística","85"
"8515","Servicios alimenticios y de nutrición","85"
"8516","Servicios de mantenimiento, renovación y reparación de equipo médico quirúrgico","85"
"8517","Servicios de muerte y soporte al fallecimiento","85"
"8610","Formación profesional","86"
"8611","Sistemas educativos alternativos","86"
"8612","Instituciones educativas","86"
"8613","Servicios educativos especializados","86"
"8614","Instalaciones educativas","86"
"9010","Restaurantes y catering (servicios de comidas y bebidas)","90"
"9011","Instalaciones hoteleras, alojamientos y centros de encuentros","90"
"9012","Facilitación de viajes","90"
"9013","Artes interpretativas","90"
"9014","Deportes comerciales","90"
"9015","Servicios de entretenimiento","90"
"9110","Aspecto personal","91"
"9111","Asistencia doméstica y personal","91"
"9210","Orden público y seguridad","92"
"9211","Servicios militares o defensa nacional","92"
"9212","Seguridad y protección personal","92"
"9310","Sistemas e instituciones políticas","93"
"9311","Condiciones sociopolíticas","93"
"9312","Relaciones internacionales","93"
"9313","Ayuda y asistencia humanitaria","93"
"9314","Servicios comunitarios y sociales","93"
"9315","Servicios de administración y financiación pública","93"
"9316","Tributación","93"
"9317","Política y regulación comercial","93"
"9410","Organizaciones laborales","94"
"9411","Organizaciones religiosas","94"
"9412","Clubes","94"
"9413","Organizaciones, asociaciones y movimientos cívicos","94"
